,ndc,rxcui,ingredient_rxcui
43830,21695049630,310812,10763
43831,21695050315,309289,21090
43832,21695050330,309289,21090
43833,21695050630,854876,39993
43834,21695050707,854873,39993
43835,21695051428,748865,4124
43836,21695051428,748865,6373
43837,21695051428,748865,748794
43838,21695051630,834243,73689
43839,21695051907,284481,82122
43840,21695052115,238920,1514
43841,21695052515,1006120,10169
43842,21695052604,762602,762595
43843,21695053015,1191013,34905
43844,21695053336,318272,1191
43845,21695053830,310798,5487
43846,21695054230,197361,17767
43847,21695054260,197361,17767
43848,21695054290,197361,17767
43849,21695054330,308135,17767
43850,21695054390,308135,17767
43851,21695054930,141963,18631
43852,21695055530,203088,6135
43853,21695055660,203088,6135
43854,21695055710,197516,21212
43855,21695055814,197517,21212
43856,21695055820,197517,21212
43857,21695056007,197700,4450
43858,21695056230,197853,6135
43859,21695056330,845315,10689
43860,21695056530,153893,88249
43861,21695056704,998673,2599
43862,21695056830,861753,4815
43863,21695056830,861753,6809
43864,21695057205,198365,8704
43865,21695057404,1049908,3498
43866,21695057730,993520,
43867,21695057830,993557,42347
43868,21695058315,197407,1514
43869,21695058445,197407,1514
43870,21695058530,351254,59078
43871,21695058560,351254,59078
43872,21695058590,351254,59078
43873,21695059130,602734,4637
43874,21695059505,309680,7299
43875,21695059505,309680,8536
43876,21695059505,309680,3264
43877,21695060460,433799,596
43878,21695060805,204527,
43879,21695060901,807279,
43880,21695060905,807279,
43881,21695061445,197405,1514
43882,21695061525,1243585,4502
43883,21695061730,200329,7646
43884,21695061940,1049214,7804
43885,21695061940,1049214,161
43886,21695061972,1049214,7804
43887,21695061972,1049214,161
43888,21695062405,860107,35827
43889,21695062530,1251039,
43890,21695062604,1251185,
43891,21695062835,208821,10627
43892,21695062835,208821,3264
43893,21695063356,637188,591622
43894,21695063806,1094107,8120
43895,21695064105,1085728,10759
43896,21695064130,993557,42347
43897,21695064360,312055,7597
43898,21695064660,200031,20352
43899,21695064730,200032,20352
43900,21695064778,200032,20352
43901,21695064912,992454,8745
43902,21695065160,833146,588250
43903,21695065460,403967,39998
43904,21695065760,596928,72625
43905,21695065930,859421,301542
43906,21695066030,1299971,31914
43907,21695066390,607022,187832
43908,21695066490,607028,187832
43909,21695066530,213169,32968
43910,21695066730,854905,19484
43911,21695066790,854905,19484
43912,21695067230,855288,11289
43913,21695068215,1547771,10391
43914,21695068330,198342,11002
43915,21695068528,1359134,24941
43916,21695068528,1359134,4124
43917,21695068528,1359134,7514
43918,21695068830,1190572,1223
43919,21695068830,1190572,3500
43920,21695069135,545236,1596450
43921,21695069490,905395,5470
43922,21695069590,905222,5470
43923,21695069725,198039,4917
43924,21695069804,991528,3289
43925,21695069804,991528,8745
43926,21695069816,991528,3289
43927,21695069816,991528,8745
43928,21695070030,833711,10689
43929,21695070116,313134,10180
43930,21695070116,313134,10829
43931,21695070200,1947729,
43932,21695070304,992432,8745
43933,21695070416,1797907,41126
43934,21695070730,855628,3355
43935,21695071130,1801298,8591
43936,21695071190,1801298,8591
43937,21695071430,979492,52175
43938,21695071630,313584,39786
43939,21695072314,828359,21949
43940,21695072328,828359,21949
43941,21695072710,1293874,5492
43942,21695072710,1293874,20877
43943,21695072710,1293874,34347
43944,21695073015,1370754,5492
43945,21695073112,1291082,5492
43946,21695073430,197886,5487
43947,21695073430,197886,29046
43948,21695073530,197887,5487
43949,21695073530,197887,29046
43950,21695073930,314231,36567
43951,21695074030,312961,36567
43952,21695074090,312961,36567
43953,21695074130,198211,36567
43954,21695074190,198211,36567
43955,21695074330,197383,1202
43956,21695074330,197383,2409
43957,21695074630,199246,25789
43958,21695074760,199247,25789
43959,21695074830,966220,10582
43960,21695074930,966221,10582
43961,21695075590,966270,10582
43962,21695075630,966225,10582
43963,21695075990,859426,301542
43964,21695076115,543546,7597
43965,21695076130,543546,7597
43966,21695076548,763183,8640
43967,21695076812,995019,4917
43968,21695076849,995019,4917
43969,21695076901,753481,31994
43970,21695076901,753481,4124
43971,21695076901,753481,748794
43972,21695077001,762333,31994
43973,21695077001,762333,4124
43974,21695077001,762333,748794
43975,21695077028,762333,31994
43976,21695077028,762333,4124
43977,21695077028,762333,748794
43978,21695077130,314200,40790
43979,21695077200,834046,7984
43980,21695077630,198034,7417
43981,21695077830,352304,341248
43982,21695077890,352304,341248
43983,21695077930,866907,141626
43984,21695078178,866912,141626
43985,21695078515,310465,1596450
43986,21695079100,855635,3355
43987,21695079572,607044,484348
43988,21695079630,833528,703
43989,21695080420,106303,10753
43990,21695080520,198300,10753
43991,21695080730,1812015,7417
43992,21695082615,1543069,6387
43993,21695082940,105583,4492
43994,21695083190,979471,5487
43995,21695083190,979471,52175
43996,21695083360,1234990,
43997,21695083415,198052,26225
43998,21695083990,198316,5487
43999,21695083990,198316,10763
44000,21695085185,745752,435
44001,21695085290,1098142,7393
44002,21695085601,1358775,24941
44003,21695085601,1358775,4124
44004,21695085601,1358775,7514
44005,21695085603,1358775,24941
44006,21695085603,1358775,4124
